Num véhicule,Ligne,Numero course,Arret tarifaire validation,Arret logique validation,Societe ligne,Societe arret validation code,Nombre montee arret,Nombre descente arret,Date arrêt,Horaire  arrêt
213,Ligne 1,6006,COMPIEGNE,Abbaye,ARC,46,0,0,04/09/2018,09:59
213,Ligne 1,6006,COMPIEGNE,Andre Malraux,ARC,46,10,0,04/09/2018,09:49
213,Ligne 1,6006,COMPIEGNE,Blaise Pascal,ARC,46,4,0,04/09/2018,09:48
213,Ligne 1,6006,COMPIEGNE,Bournonville,ARC,46,8,0,04/09/2018,10:11
213,Ligne 1,6006,COMPIEGNE,Bournonville 2,ARC,46,0,2,04/09/2018,10:11
213,Ligne 1,6006,COMPIEGNE,Carnot,ARC,46,0,2,04/09/2018,10:07
213,Ligne 1,6006,COMPIEGNE,Centre Commercial Royallieu,ARC,46,6,2,04/09/2018,09:52
213,Ligne 1,6006,COMPIEGNE,Compiegne Gare,ARC,46,0,4,04/09/2018,10:21
213,Ligne 1,6006,COMPIEGNE,Denielou,ARC,46,0,0,04/09/2018,09:51
213,Ligne 1,6006,COMPIEGNE,Etats-Unis,ARC,46,2,1,04/09/2018,10:09
213,Ligne 1,6006,COMPIEGNE,Gare,ARC,46,0,4,04/09/2018,10:21
213,Ligne 1,6006,COMPIEGNE,Hopital,ARC,46,0,0,04/09/2018,09:38
213,Ligne 1,6006,COMPIEGNE,Hopital Depart,ARC,46,0,0,04/09/2018,09:38
213,Ligne 1,6006,COMPIEGNE,Huy Senlis,ARC,46,0,0,04/09/2018,09:58
213,Ligne 1,6006,COMPIEGNE,Jacques Monod,ARC,46,0,4,04/09/2018,10:13
213,Ligne 1,6006,COMPIEGNE,Jean L'Huillier,ARC,46,6,0,04/09/2018,10:02
213,Ligne 1,6006,COMPIEGNE,La Venerie,ARC,46,0,0,04/09/2018,10:08
213,Ligne 1,6006,COMPIEGNE,Lycee Pierre d'Ailly,ARC,46,4,2,04/09/2018,10:09
213,Ligne 1,6006,COMPIEGNE,Maison de l'Europe,ARC,46,0,0,04/09/2018,10:10
213,Ligne 1,6006,COMPIEGNE,Mercieres,ARC,46,0,0,04/09/2018,09:46
213,Ligne 1,6006,COMPIEGNE,Palais,ARC,46,0,0,04/09/2018,10:16
213,Ligne 1,6006,COMPIEGNE,Picardie,ARC,46,2,0,04/09/2018,10:00
